id,label,vuelo
Hani Hanjour,Hani Hanjour,77_Pentagon
Majed Moqed,Majed Moqed,77_Pentagon
Nawaf Alhazmi,Nawaf Alhazmi,77_Pentagon
Salem Alhazmi,Salem Alhazmi,77_Pentagon
Khalid Al-Mihdhar,Khalid Al-Mihdhar,77_Pentagon
Mohamed Atta,Mohamed Atta,11_WTC North
Waleed Alshehri,Waleed Alshehri,11_WTC North
Wail Alshehri,Wail Alshehri,11_WTC North
Satam Suqami,Satam Suqami,11_WTC North
Abdul Aziz Al-Omari,Abdul Aziz Al-Omari,11_WTC North
Marwan Al-Shehhi,Marwan Al-Shehhi,175_WTC South
Fayez Ahmed,Fayez Ahmed,175_WTC South
Ahmed Alghamdi,Ahmed Alghamdi,175_WTC South
Hamza Alghamdi,Hamza Alghamdi,175_WTC South
Mohand Alshehri,Mohand Alshehri,175_WTC South
Ziad Jarrah,Ziad Jarrah,93_Penn
Ahmed Alnami,Ahmed Alnami,93_Penn
Ahmed Al Haznawi,Ahmed Al Haznawi,93_Penn
Saeed Alghamdi,Saeed Alghamdi,93_Penn
Bandar Alhazmi,Bandar Alhazmi,no_flight
Rayed Mohammed Abdullah,Rayed Mohammed Abdullah,no_flight
Abdussattar Shaikh,Abdussattar Shaikh,no_flight
Osama Awadallah,Osama Awadallah,no_flight
Said Bahaji,Said Bahaji,no_flight
Ramzi Bin al-Shibh,Ramzi Bin al-Shibh,no_flight
Zakariya Essabar,Zakariya Essabar,no_flight
Essid Sami Ben Khemais,Essid Sami Ben Khemais,no_flight
Mustafa Ahmed al-Hisawi,Mustafa Ahmed al-Hisawi,no_flight
Zacarias Moussaoui,Zacarias Moussaoui,no_flight
Djamal Beghal,Djamal Beghal,no_flight
Jerome Courtaillier,Jerome Courtaillier,no_flight
David Courtaillier,David Courtaillier,no_flight
Ahmed Ressam,Ahmed Ressam,no_flight
Kamel Daoudi,Kamel Daoudi,no_flight
Tarek Maaroufi,Tarek Maaroufi,no_flight
Faisal Al Salmi,Faisal Al Salmi,no_flight
Mohamed Abdi,Mohamed Abdi,no_flight
Mamoun Darkazanli,Mamoun Darkazanli,no_flight
Ahmed Khalil Ibrahim Samir Al-Ani,Ahmed Khalil Ibrahim Samir Al-Ani,no_flight
Agus Budiman,Agus Budiman,no_flight
Mounir El Motassadeq,Mounir El Motassadeq,no_flight
Abdelghani Mzoudi,Abdelghani Mzoudi,no_flight
Imad Eddin Barakat Yarkas,Imad Eddin Barakat Yarkas,no_flight
Nabil al-Marabh,Nabil al-Marabh,no_flight
Raed Hijazi,Raed Hijazi,no_flight
Abu Qatada,Abu Qatada,no_flight
Mamduh Mahmud Salim,Mamduh Mahmud Salim,no_flight
Mohammed Belfas,Mohammed Belfas,no_flight
Abu Walid,Abu Walid,no_flight
Mohammed Jaweed Azmath,Mohammed Jaweed Azmath,no_flight
Ayub Ali Khan,Ayub Ali Khan,no_flight
Usman Bandukra,Usman Bandukra,no_flight
Nabil Almarabh,Nabil Almarabh,no_flight
Haydar Abu Doha,Haydar Abu Doha,no_flight
Mohamed Bensakhria,Mohamed Bensakhria,no_flight
Lased Ben Heni,Lased Ben Heni,no_flight
Mehdi Khammoun,Mehdi Khammoun,no_flight
Essoussi Laaroussi,Essoussi Laaroussi,no_flight
Samir Kishk,Samir Kishk,no_flight
Fahid al Shakri,Fahid al Shakri,no_flight
Seifallah ben Hassine,Seifallah ben Hassine,no_flight
Karim Koubriti,Karim Koubriti,no_flight
Ahmen Hannan,Ahmen Hannan,no_flight
Nizar Trabelsi,Nizar Trabelsi,no_flight
Jean-Marc Grandvisir,Jean-Marc Grandvisir,no_flight
Abu Zubeida,Abu Zubeida,no_flight
Mohammad Pervez,Mohammad Pervez,no_flight
Madjid Sahoune,Madjid Sahoune,no_flight
Lotfi Raissi, Lotfi Raissi, no_flight
