Source Target Weight
1 0 1
3 1 1
4 0 1
4 3 1
5 4 1
6 1 1
6 3 4
6 4 1
7 0 1
8 3 1
8 4 1
9 7 2
11 3 1
11 6 1
11 8 1
11 9 1
12 11 1
13 0 2
13 3 3
13 4 1
13 6 1
13 7 2
13 8 1
13 9 1
13 11 2
13 12 1
14 10 1
15 3 1
15 11 2
15 13 1
16 7 1
16 9 1
16 11 1
16 13 1
16 15 1
17 0 2
17 1 2
17 2 1
17 3 1
17 5 1
17 6 1
17 7 1
17 8 1
17 9 2
17 10 1
17 11 2
17 12 1
17 13 1
17 14 1
17 16 2
18 0 6
18 1 2
18 2 2
18 3 8
18 4 5
18 5 2
18 6 5
18 7 3
18 8 5
18 9 3
18 10 1
18 11 6
18 12 1
18 13 7
18 14 1
18 15 2
18 16 4
18 17 33
18 19 1
18 20 2
18 21 3
18 22 3
18 23 3
18 24 2
18 25 3
18 26 1
18 27 3
18 28 1
18 29 3
18 30 1
18 31 6
18 32 4
18 33 5
18 34 1
18 35 3
18 36 2
18 37 1
18 39 3
18 40 17
18 41 5
18 42 3
18 43 3
18 44 1
18 45 2
18 46 2
18 47 19
18 48 4
18 49 1
18 50 1
18 51 7
18 52 3
18 53 4
18 54 4
18 55 15
18 56 1
18 57 2
18 58 6
18 59 2
18 60 1
18 61 1
18 62 3
18 63 2
18 64 3
18 65 1
18 66 1
18 67 1
18 68 2
18 69 5
18 70 4
18 71 2
18 72 6
18 73 1
18 74 2
18 75 1
18 76 9
18 77 1
18 78 4
18 79 3
18 80 1
18 81 1
18 82 3
18 83 1
18 84 4
18 85 5
18 86 1
18 87 21
18 88 1
18 89 3
18 90 6
18 91 2
18 92 1
18 93 1
18 94 9
18 95 3
18 96 15
18 97 1
18 98 6
18 99 5
18 100 1
18 101 3
18 102 3
18 103 1
18 104 5
18 105 10
18 106 6
18 107 4
18 108 3
18 109 2
18 110 3
18 111 3
18 112 7
18 113 1
18 114 2
18 115 1
18 116 1
18 117 6
18 118 5
18 119 1
18 120 26
18 121 3
18 122 20
18 123 3
18 124 29
18 125 1
18 126 2
18 127 4
18 128 5
18 129 2
18 130 3
18 131 5
18 132 1
18 133 10
18 134 6
18 135 6
18 136 1
18 137 1
18 138 64
18 139 1
18 140 1
18 141 1
18 142 2
18 143 5
18 144 6
18 145 2
18 146 13
18 147 3
18 148 3
18 149 5
18 150 5
18 151 2
18 152 3
18 153 3
18 154 2
18 155 2
18 156 3
18 157 2
18 158 2
18 159 1
18 160 64
18 161 2
18 162 4
18 163 4
18 164 1
18 165 3
18 166 1
18 167 3
18 168 3
18 169 3
18 170 3
18 171 1
18 172 5
18 173 1
18 174 2
18 175 2
18 176 6
18 177 21
18 178 5
18 179 2
18 180 4
18 181 2
18 182 1
18 183 5
18 184 4
18 185 3
18 186 13
18 187 1
18 188 2
18 189 2
18 190 7
18 191 1
18 192 2
18 193 2
18 194 3
18 195 1
18 196 2
18 197 1
18 198 7
18 199 2
18 200 2
18 201 6
18 202 3
18 203 3
18 204 1
18 205 1
18 206 1
18 207 1
18 208 1
18 209 1
18 210 2
18 211 2
18 212 2
18 213 8
19 17 1
20 0 1
20 8 1
20 13 1
20 17 1
21 0 1
21 5 1
21 6 1
21 7 1
21 11 1
21 13 1
21 17 1
22 0 1
22 3 2
22 7 1
22 8 1
