ID POKEDEX POKEMON TIPO1 TIPO2
0 1 Bulbasaur Planta Veneno
1 2 Ivysaur Planta Veneno
2 3 Venusaur Planta Veneno
3 4 Charmander Fuego Fuego
4 5 Charmeleon Fuego Fuego
5 6 Charizard Fuego Volador
6 7 Squirtle Agua Agua
7 8 Wartortle Agua Agua
8 9 Blastoise Agua Agua
9 10 Caterpie Bicho Bicho
10 10 CaterpieIR Bicho Bicho
11 11 Metapod Bicho Bicho
12 12 Butterfree Bicho Volador
13 12 ButterfreedelAN Bicho Volador
14 13 Weedle Bicho Veneno
15 13 WeedleIR Bicho Veneno
16 14 Kakuna Bicho Veneno
17 15 Beedrill Bicho Veneno
18 16 Pidgey Normal Volador
19 16 PidgeyIR Normal Volador
20 17 Pidgeotto Normal Volador
21 18 Pidgeot Normal Volador
22 19 Rattata Normal Normal
23 20 Raticate Normal Normal
24 20 RaticateIV Normal Normal
25 21 Spearow Normal Volador
26 22 Fearow Normal Volador
27 23 Ekans Veneno Veneno
28 24 Arbok Veneno Veneno
29 25 Pikachu Eléctrico Eléctrico
30 26 Raichu Eléctrico Eléctrico
31 27 Sandshrew Tierra Tierra
32 28 Sandslash Tierra Tierra
33 29 Nidoran♀ Veneno Veneno
34 29 Nidoran♀IV Veneno Veneno
35 29 Nidoran♀IR Veneno Veneno
36 30 Nidorina Veneno Veneno
37 31 Nidoqueen Veneno Tierra
38 32 Nidoran♂IV Veneno Veneno
39 32 Nidoran♂ Veneno Veneno
40 32 Nidoran♂IR Veneno Veneno
41 33 Nidorino Veneno Veneno
42 34 Nidoking Veneno Tierra
43 34 NidokingIR Veneno Tierra
44 35 Clefairy Hada2 Hada2
45 36 Clefable Hada2 Hada2
46 37 Vulpix Fuego Fuego
47 38 Ninetales Fuego Fuego
48 39 Jigglypuff Normal Hada2
49 41 Zubat Veneno Volador
50 42 Golbat Veneno Volador
51 43 Oddish Planta Veneno
52 43 OddishIR Planta Veneno
53 44 Gloom Planta Veneno
54 45 Vileplume Planta Veneno
55 45 VileplumeIV Planta Veneno
56 45 VileplumeIR Planta Veneno
57 46 Paras Bicho Planta
58 46 ParasIV Bicho Planta
59 46 ParasIR Bicho Planta
60 47 Parasect Bicho Planta
61 48 Venonat Bicho Veneno
62 48 VenonatIR Bicho Veneno
63 49 Venomoth Bicho Veneno
64 50 Diglett Tierra Tierra
65 50 DiglettIR Tierra Tierra
66 51 Dugtrio Tierra Tierra
67 52 Meowth Normal Normal
68 53 Persian Normal Normal
69 54 Psyduck Agua Agua
70 55 Golduck Agua Agua
71 56 Mankey Lucha Lucha
72 56 MankeyIR Lucha Lucha
73 57 Primeape Lucha Lucha
74 57 PrimeapeIR Lucha Lucha
75 58 Growlithe Fuego Fuego
76 59 Arcanine Fuego Fuego
77 60 Poliwag Agua Agua
78 61 Poliwhirl Agua Agua
79 62 Poliwrath Agua Lucha
80 63 Abra Psíquico Psíquico
81 64 Kadabra Psíquico Psíquico
82 65 Alakazam Psíquico Psíquico
83 66 Machop Lucha Lucha
84 67 Machoke Lucha Lucha
85 68 Machamp Lucha Lucha
86 69 Bellsprout Planta Veneno
87 69 BellsproutIR Planta Veneno
88 70 Weepinbell Planta Veneno
89 70 WeepinbellIV Planta Veneno
90 71 Victreebel Planta Veneno
91 72 Tentacool Agua Veneno
92 73 Tentacruel Agua Veneno
93 74 Geodude Roca Tierra
94 75 Graveler Roca Tierra
95 76 Golem Roca Tierra
96 77 Ponyta Fuego Fuego
97 78 Rapidash Fuego Fuego
98 79 Slowpoke Agua Psíquico
99 80 Slowbro Agua Psíquico
100 81 Magnemite Eléctrico Acero3
101 82 Magneton Eléctrico Acero3
102 83 Farfetch'd Normal Volador
103 84 Doduo Normal Volador
104 85 Dodrio Normal Volador
105 86 Seel Agua Agua
106 87 Dewgong Agua Hielo
107 88 Grimer Veneno Veneno
108 89 Muk Veneno Veneno
109 90 Shellder Agua Agua
110 91 Cloyster Agua Hielo
111 92 Gastly Fantasma Veneno
112 93 Haunter Fantasma Veneno
113 94 Gengar Fantasma Veneno
114 95 Onix Roca Tierra
115 96 Drowzee Psíquico Psíquico
116 98 Krabby Agua Agua
117 99 Kingler Agua Agua
118 100 Voltorb Eléctrico Eléctrico
119 101 Electrode Eléctrico Eléctrico
120 102 Exeggcute Planta Psíquico
121 103 Exeggutor Planta Psíquico
122 103 ExeggutorIR Planta Psíquico
123 104 Cubone Tierra Tierra
124 105 Marowak Tierra Tierra
125 106 Hitmonlee Lucha Lucha
126 107 Hitmonchan Lucha Lucha
127 108 Lickitung Normal Normal
128 109 Koffing Veneno Veneno
129 110 Weezing Veneno Veneno
130 111 Rhyhorn Tierra Roca
131 111 RhyhornIR Tierra Roca
132 112 Rhydon Tierra Roca
133 112 RhydonIR Tierra Roca
134 113 Chansey Normal Normal
135 114 Tangela Planta Planta
136 116 Horsea Agua Agua
137 117 Seadra Agua Agua
138 118 Goldeen Agua Agua
139 119 Seaking Agua Agua
140 120 Staryu Agua Agua
141 121 Starmie Agua Psíquico
142 122 Mr.Mime Psíquico Hada4
143 123 Scyther Bicho Volador
144 124 Jynx Hielo Psíquico
145 125 Electabuzz Eléctrico Eléctrico
146 126 Magmar Fuego Fuego
147 127 Pinsir Bicho Bicho
148 128 Tauros Normal Normal
149 129 Magikarp Agua Agua
150 130 Gyarados Agua Volador
151 131 Lapras Agua Hielo
152 132 Ditto Normal Normal
153 133 Eevee Normal Normal
154 134 Vaporeon Agua Agua
155 135 Jolteon Eléctrico Eléctrico
156 136 Flareon Fuego Fuego
157 137 Porygon Normal Normal
158 138 Omanyte Roca Agua
159 140 Kabuto Roca Agua
